"database","term","clean","short"
"GO Slim","GOSLIM_NUCLEOCYTOPLASMIC_TRANSPORT","Nucleocytoplasmic Transport","Nucleocytoplasmic Transport"
"GO Slim","GOSLIM_AUTOPHAGY","Autophagy","Autophagy"
"GO Slim","GOSLIM_INFLAMMATORY_RESPONSE","Inflammatory Response","Inflammatory Response"
"GO Slim","GOSLIM_MITOCHONDRION_ORGANIZATION","Mitochondrion Organization","Mitochondrion Organization"
"GO Slim","GOSLIM_CYTOSKELETON_ORGANIZATION","Cytoskeleton Organization","Cytoskeleton Organization"
"GO Slim","GOSLIM_MICROTUBULE_BASED_MOVEMENT","Microtubule-Based Movement","Microtubule-Based Movement"
"GO Slim","GOSLIM_PEROXISOME_ORGANIZATION","Peroxisome Organization","Peroxisome Organization"
"GO Slim","GOSLIM_LYSOSOME_ORGANIZATION","Lysosome Organization","Lysosome Organization"
"GO Slim","GOSLIM_CHROMOSOME_SEGREGATION","Chromosome Segregation","Chromosome Segregation"
"GO Slim","GOSLIM_CELL_ADHESION","Cell Adhesion","Cell Adhesion"
"GO Slim","GOSLIM_ESTABLISHMENT_OR_MAINTENANCE_OF_CELL_POLARITY","Establishment or Maintenance of Cell Polarity","Cell Polarity"
"GO Slim","GOSLIM_GLYCOPROTEIN_BIOSYNTHETIC_PROCESS","Glycoprotein Biosynthetic Process","Glycoprotein Biosynthesis"
"GO Slim","GOSLIM_PROGRAMMED_CELL_DEATH","Programmed Cell Death","Programmed Cell Death"
"GO Slim","GOSLIM_MRNA_METABOLIC_PROCESS","mRNA Metabolic Process","mRNA Metabolism"
"GO Slim","GOSLIM_SNRNA_METABOLIC_PROCESS","snRNA Metabolic Process","snRNA Metabolism"
"GO Slim","GOSLIM_VESICLE_MEDIATED_TRANSPORT","Vesicle-Mediated Transport","Vesicle-Mediated Transport"
"GO Slim","GOSLIM_REPRODUCTIVE_PROCESS","Reproductive Process","Reproductive Process"
"GO Slim","GOSLIM_DIGESTIVE_SYSTEM_PROCESS","Digestive System Process","Digestive System Process"
"GO Slim","GOSLIM_SIGNALING","Signaling","Signaling"
"GO Slim","GOSLIM_CELL_DIFFERENTIATION","Cell Differentiation","Cell Differentiation"
"GO Slim","GOSLIM_PROTEIN_CATABOLIC_PROCESS","Protein Catabolic Process","Protein Catabolism"
"GO Slim","GOSLIM_EXTRACELLULAR_MATRIX_ORGANIZATION","Extracellular Matrix Organization","ECM Organization"
"GO Slim","GOSLIM_REGULATORY_NCRNA_MEDIATED_GENE_SILENCING","Regulatory ncRNA-Mediated Gene Silencing","ncRNA Gene Silencing"
"GO Slim","GOSLIM_TELOMERE_ORGANIZATION","Telomere Organization","Telomere Organization"
"GO Slim","GOSLIM_CELL_JUNCTION_ORGANIZATION","Cell Junction Organization","Cell Junction Organization"
"GO Slim","GOSLIM_WOUND_HEALING","Wound Healing","Wound Healing"
"GO Slim","GOSLIM_RIBOSOME_BIOGENESIS","Ribosome Biogenesis","Ribosome Biogenesis"
"GO Slim","GOSLIM_CILIUM_ORGANIZATION","Cilium Organization","Cilium Organization"
"GO Slim","GOSLIM_ANATOMICAL_STRUCTURE_DEVELOPMENT","Anatomical Structure Development","Anatomical Development"
"GO Slim","GOSLIM_CELL_MOTILITY","Cell Motility","Cell Motility"
"GO Slim","GOSLIM_NERVOUS_SYSTEM_PROCESS","Nervous System Process","Nervous System Process"
"GO Slim","GOSLIM_ENDOCRINE_PROCESS","Endocrine Process","Endocrine Process"
"GO Slim","GOSLIM_PROTEIN_MATURATION","Protein Maturation","Protein Maturation"
"GO Slim","GOSLIM_TRANSMEMBRANE_TRANSPORT","Transmembrane Transport","Transmembrane Transport"
"GO Slim","GOSLIM_NUCLEOBASE_CONTAINING_SMALL_MOLECULE_METABOLIC_PROCESS","Nucleobase-Containing Small Molecule Metabolic Process","Nucleobase Compound\nMetabolism"
"GO Slim","GOSLIM_MEMBRANE_ORGANIZATION","Membrane Organization","Membrane Organization"
"GO Slim","GOSLIM_PROTEIN_CONTAINING_COMPLEX_ASSEMBLY","Protein-Containing Complex Assembly","Protein Complex Assembly"
"GO Slim","GOSLIM_NITROGEN_CYCLE_METABOLIC_PROCESS","Nitrogen Cycle Metabolic Process","Nitrogen Cycle Metabolism"
"GO Slim","GOSLIM_PROTEIN_LOCALIZATION_TO_PLASMA_MEMBRANE","Protein Localization to Plasma Membrane","Plasma Membrane Localization"
"GO Slim","GOSLIM_DEFENSE_RESPONSE_TO_OTHER_ORGANISM","Defense Response to Other Organism","Defense Response\nto Other Organism"
"GO Slim","GOSLIM_DETOXIFICATION","Detoxification","Detoxification"
"GO Slim","GOSLIM_MEIOTIC_NUCLEAR_DIVISION","Meiotic Nuclear Division","Meiotic Nuclear Division"
"GO Slim","GOSLIM_MITOTIC_NUCLEAR_DIVISION","Mitotic Nuclear Division","Mitotic Nuclear Division"
"GO Slim","GOSLIM_MITOCHONDRIAL_GENE_EXPRESSION","Mitochondrial Gene Expression","Mitochondrial Gene Expression"
"GO Slim","GOSLIM_CARBOHYDRATE_DERIVATIVE_METABOLIC_PROCESS","Carbohydrate Derivative Metabolic Process","Carbohydrate\nDerivative Metabolism"
